city_name,latitude,longitude,total_pop
Amsterdam,52.3667,4.9,872680
Rotterdam,51.9167,4.5,651157
The Hague,52.08,4.31,545838
Utrecht,52.0833,5.11667,358454
Groningen,53.2167,6.56667,233218
Alkmaar,52.6333,4.75,109444
Hilversum,52.2333,5.16667,90261
Zaandam,52.4333,4.83333,76804
Hoorn,52.65,5.06667,73261
Spijkenisse,51.85,4.33333,72500
Westerkwartier,53.225,6.35278,63031
Midden-Groningen,53.1847,6.81111,60953
Barneveld,52.1333,5.58333,57134
Almere Buiten,52.395,5.276,56040
Den Helder,52.9333,4.75,55559
Loosduinen,52.05,4.23333,48101
Het Hogeland,53.4136,6.67722,47861
Lingewaard,51.8833,5.9,46625
Drachten,53.1,6.1,45186
Noardeast-Fryslân,53.3333,6.05,45181
Hillegersberg,51.9514,4.48889,43991
Molenlanden,51.8667,4.78333,43858
Maarssen,52.1351,5.0413,39363
Sneek,53.0325,5.66,33855
Bussum,52.2833,5.16667,33595
Leidschendam,52.0833,4.4,32480
Veghel,51.6167,5.55,32015
IJmuiden,52.4586,4.61944,30160
Nijverdal,52.3667,6.46667,30000
Skarsterlân,52.9667,5.78333,27467
Emmeloord,52.7097,5.75083,26055
De Meern,52.0781,5.02806,21764
Leerdam,51.9,5.1,21000
Vianen,52.0,5.1,20423
Bonaire,12.15,-68.2667,20104
Bonaire,12.15,-68.25,20104
Bonaire,12.1833,-68.2667,20104
Bonaire,12.1833,-68.25,20104
Public Body of Bonaire,12.15,-68.2667,20104
Public Body of Bonaire,12.15,-68.25,20104
Public Body of Bonaire,12.1833,-68.2667,20104
Public Body of Bonaire,12.1833,-68.25,20104
Wisch,51.9333,6.31667,19534
Boarnsterhim,53.1,5.83333,19482
Bodegraven,52.0858,4.74444,19348
Bergschenhoek,51.98,4.5,18750
Rijnwoude,52.1333,4.58333,18523
Winschoten,53.15,7.03333,18518
Glanerbrug,52.215,6.97417,16740
Kaatsheuvel,51.6667,5.06667,16600
Wymbritseradeel,53.0167,5.61667,16136
Velserbroek,52.435,4.65722,16000
Harenkarspel,52.73,4.75,15922
Boskoop,52.0667,4.65,15050
