city_name,latitude,longitude,total_pop
Warsaw,52.2333,21.0167,1793579
Szymiszów,50.5203,18.2458,1300720
Łódź,51.7769,19.4547,679941
Wrocław,51.11,17.0325,643782
Poznań,52.4083,16.9336,534813
,54.3667,18.6333,470907
Gdańsk,54.3667,18.6333,470907
Szczecin,53.4325,14.5481,401907
Bydgoszcz,53.1219,18.0003,348190
Lublin,51.2481,22.5703,339784
Białystok,53.1353,23.1456,296958
Katowice,50.2583,19.0275,292774
Gdynia,54.5,18.5333,246348
Gdynia,54.5,18.55,246348
Częstochowa,50.8,19.1167,220433
Radom,51.4036,21.1567,211371
Toruń,53.0222,18.6111,201447
Fabryczna borough,51.1191,16.9262,196912
Industrial borough,51.1191,16.9262,196912
Rzeszów,50.0333,22.0,196208
Kielce,50.8742,20.6333,194852
Gliwice,50.2833,18.6667,178603
Zabrze,50.3025,18.7781,172360
Olsztyn,53.7778,20.4792,171979
Bielsko-Biała,49.8225,19.0444,170663
Bytom,50.3483,18.9156,165263
Zielona Góra,51.9333,15.5,141222
Rybnik,50.0833,18.55,138098
Ruda Śląska,50.2628,18.8536,137360
Opole,50.6667,17.9333,128035
Tychy,50.1236,18.9867,127590
Gorzów Wielkopolski,52.7333,15.25,123341
Płock,52.55,19.7,119425
(Princely Capital City of Płock),52.55,19.7,119425
Dąbrowa Górnicza,50.3214,19.1872,119373
Elbląg,54.1667,19.4,119317
Śródmieście borough,51.113,17.0801,117492
Wałbrzych,50.7667,16.2833,111356
Tarnów,50.0125,20.9886,108470
Chorzów,50.3,18.95,107807
Koszalin,54.2,16.1833,107048
Kalisz,51.7575,18.08,100246
Siecie,54.6244,17.2303,100000
Grudziądz,53.4925,18.7761,95045
Jaworzno,50.2044,19.27,91563
Słupsk,54.4658,17.0292,91007
Jastrzębie-Zdrój,49.95,18.5833,89128
Jelenia Góra,50.9033,15.7344,79480
Mysłowice,50.2333,19.1333,74586
Konin,52.2167,18.2667,74151
Piotrków Trybunalski,51.4,19.6833,73090
Inowrocław,52.7931,18.2611,72561
Ostrów Wielkopolski,51.6494,17.8164,71931
Stargard,53.3333,15.0333,70534
Royal Capital City of Gniezno,52.5333,17.6,68943
Gniezno,52.5333,17.6,68943
Busko,50.4667,20.7167,67821
Siemianowice Śląskie,50.2758,18.9858,66963
Chełm,51.1322,23.4778,63949
Zamość,50.7167,23.2528,63511
Łomża,53.1764,22.0731,62779
Gant,53.7167,21.2,60889
Przemyśl,49.7833,22.7667,60442
Mielec,50.2833,21.4333,60229
Stalowa Wola,50.5833,22.05,60179
Pruszków,52.1667,20.8,60068
Biała Podlaska,52.0333,23.1167,59280
Świdnica,50.85,16.4833,57041
Będzin,50.3333,19.1167,56624
Piekary Śląskie,50.3833,18.95,55088
Świętochłowice,50.2919,18.9178,49762
Zawiercie,50.5,19.4167,49334
Rumia,54.5667,18.4,49230
Puławy,51.4167,21.9667,47417
Tarnobrzeg,50.5833,21.6833,47387
Dębica,50.05,21.4167,47234
Kołobrzeg,54.1667,15.5667,46830
Świnoujście,53.9167,14.25,41516
Szczecinek,53.7167,16.6833,40211
Świdnik,51.2167,22.7,40040
Sochaczew,52.2333,20.2333,37306
Sopot,54.4333,18.55,37089
Szwederowo district,53.1139,17.9931,32760
Łuków,51.9272,22.3833,30564
Augustów,53.8436,22.9775,30190
Gorlice,49.65,21.1667,29500
Marki,52.3333,21.1,29032
Ropczyce,50.0861,21.6333,26059
Wieliczka,49.9894,20.0661,23395
Wieluń,51.2206,18.57,22973
Olecko,54.0333,22.5,22384
Komorniki,52.3361,16.8069,20000
Wadowice,49.8833,19.5,19149
Międzyrzec Podlaski,51.9833,22.7833,17102
Kolbudy,54.2708,18.4722,16826
Łomianki,52.3333,20.8833,16374
Przeworsk,50.0667,22.5,15747
Staszów,50.5633,21.1717,15517
Syry,51.4333,22.4,14039
Złocieniec,53.5269,16.0122,13377
Izabelin,52.3,20.8167,12500
Myślibórz,52.9333,14.8667,11867
Koziegłowy,52.4333,16.9833,10755
Bystrzyca Kłodzka,50.3,16.65,10134
Opatówek,51.7333,18.2333,10000
Pawłowice,49.9628,18.7181,9929
Wola,50.0167,19.1333,9500
Mroczno,53.3531,19.7028,9001
Połaniec,50.4331,21.2803,8406
Baboszewo,52.6814,20.2583,8000
Strzegowo,52.9,20.2833,8000
Radgoszcz,50.205,21.1131,7600
Jabłonna,52.3781,20.9164,7365
Przywózki,52.3667,22.2,7203
Gorzyce,50.6667,21.85,7116
Bolszewo,54.6242,18.1753,7064
Luzino,54.5628,18.1031,6985
Łodygowice,49.7167,19.1333,6925
Słopnice,49.7,20.35,6814
Raszyn,52.1589,20.9264,6700
Jawiszowice,49.9589,19.1389,6700
Żukowo,54.3458,18.3606,6688
Skórzewo,52.3833,16.8,6635
Wilkowice,49.75,19.1,6496
Wyry,50.1333,18.9167,6400
Wartkowice,51.9833,19.0167,6329
Osiek,49.9492,19.2658,6300
Goczałkowice-Zdrój,49.9333,18.9667,6245
Jaworze,49.8061,18.9422,6195
Brenna,49.7262,18.9057,6134
Rakszawa,50.15,22.25,6100
Łabowa,49.5275,20.8553,6005
Korczyna,49.7222,21.8178,6000
Przeźmierowo,52.4333,16.7167,5965
Klucze,50.3406,19.5628,5926
Wołczyn,51.0183,18.0569,5907
Plewiska,52.3664,16.8089,5867
Sułoszowa,50.2667,19.7,5800
Kleosin,53.0931,23.1181,5700
Chełm Śląski,50.1094,19.1933,5646
Głogówek,50.3439,17.8672,5592
Pustków,50.1403,21.4889,5588
Białe Błota,53.0989,17.9161,5575
Ornontowice,50.1833,18.7667,5556
Czaniec,49.8503,19.2528,5536
Chocznia,49.8833,19.45,5510
Czerwonak,52.4697,16.9808,5432
Szczebrzeszyn,50.7,22.9667,5299
Szczebrzeszyn,50.7,22.9833,5299
Szczebrzeszyn,50.6833,22.9667,5299
Szczebrzeszyn,50.6833,22.9833,5299
Gościcino,54.6044,18.1553,5278
Jasienica,49.8128,18.9206,5242
Małkinia Górna,52.6936,22.0506,5200
Jeżowe,50.3753,22.1433,5200
Marklowice,50.0183,18.5247,5180
Szczytna,50.4167,16.4333,5141
Żołynia,50.1786,22.3242,5106
Mysłakowice,50.85,15.7833,5100
Stryszawa,49.7167,19.5167,5100
Istebna,49.5641,18.8933,5078
Zebrzydowice,49.8754,18.6178,5046
Ludwin,51.3333,22.9,5041
Wieprz,49.8894,19.365,5002
Siepraw,49.9167,19.9833,5000
Radziechowy,49.6467,19.1258,5000
Krzemieniewo,51.85,16.8167,5000
Niemce,51.3592,22.63,5000
Strzałkowo,52.31,17.8181,4953
Pcim,49.75,19.9667,4900
Sękowa,49.6,21.2,4889
Budzyń,52.8894,16.9886,4861
Sułkowice,49.8261,19.3592,4835
Rędziny,50.8581,19.2142,4753
Jabłoń-Dąbrowa,52.9117,22.6986,4736
Moszczenica,49.7214,21.1089,4706
Kobiór,50.0603,18.9394,4702
Żurawica,49.8217,22.7978,4702
Pisarzowice,49.8833,19.1333,4673
Bulowice,49.8333,19.25,4664
Bestwina,49.8964,19.0594,4618
Komorów,52.1444,20.8153,4570
Koszęcin,50.6333,18.8333,4563
Iwonicz,49.6078,21.8044,4509
